페이지,공종,종별,종별_상세1,시험종목_1,시험종목_2,시험종목_3,시험방법,시험빈도,비고
9,철근콘크리트공사,"조립용
콘크리트
벽판
(KS F 4722)",,내화성,,,,"·제조회사별
·제품규격별",
9,철근콘크리트공사,"조립용
콘크리트
벽판
(KS F 4722)",,콘크리트 강도,,,,"·제조회사별
·제품규격별",
9,철근콘크리트공사,"조립용
콘크리트
바닥판
(KS F 4726)",,"겉모양, 치수",,,KS F 4726,"·제조회사별
·제품규격별",
9,철근콘크리트공사,"조립용
콘크리트
바닥판
(KS F 4726)",,단열성,,,,"·제조회사별
·제품규격별",
9,철근콘크리트공사,"조립용
콘크리트
바닥판
(KS F 4726)",,차음성,,,,"·제조회사별
·제품규격별",
9,철근콘크리트공사,"조립용
콘크리트
바닥판
(KS F 4726)",,방수성,,,,"·제조회사별
·제품규격별",
9,철근콘크리트공사,"조립용
콘크리트
바닥판
(KS F 4726)",,내분포압성,,,,"·제조회사별
·제품규격별",
9,철근콘크리트공사,"조립용
콘크리트
바닥판
(KS F 4726)",,내국압성,,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,,,콘크리트 강도,,,,,
10,철근콘크리트공사,"조립용
콘크리트
지붕판
(KS F 4729)",,"겉모양,치수",,,KS F 4729,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"조립용
콘크리트
지붕판
(KS F 4729)",,단열성,,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"조립용
콘크리트
지붕판
(KS F 4729)",,차음성,,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"조립용
콘크리트
지붕판
(KS F 4729)",,방수성,,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"조립용
콘크리트
지붕판
(KS F 4729)",,내분포압성,,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"조립용
콘크리트
지붕판
(KS F 4729)",,내국압성,,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"조립용
콘크리트
지붕판
(KS F 4729)",,콘크리트 강도,,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"경량기포
콘크리트
패널
(ALC패널)
(KS F 4914)",,ALC,절건밀도,,KS F 4914,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"경량기포
콘크리트
패널
(ALC패널)
(KS F 4914)",,,압축강도,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"경량기포
콘크리트
패널
(ALC패널)
(KS F 4914)",,,길이변화율,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"경량기포
콘크리트
패널
(ALC패널)
(KS F 4914)",,방청제,방청성능,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"경량기포
콘크리트
패널
(ALC패널)
(KS F 4914)",,패널,"겉모양, 치수",,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"경량기포
콘크리트
패널
(ALC패널)
(KS F 4914)",,,굽힘강도,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"경량기포
콘크리트
패널
(ALC패널)
(KS F 4914)",,,단열성,,,"·제조회사별
·제품규격별",
10,철근콘크리트공사,"PC조립식
구조접합부",,"접합부 결함
(초음파 탐상)",,,해당 공사시방서,·층별 5개소,
10,철강구조물공사,"강재(용접부반
입검사)",,용접부의 내부결함,,,KS B 0845,"·맞이음부재 총연장의
5/100 또는 10이음에
대하여 1장",
10,철강구조물공사,"강재(용접부반
입검사)",,,,,KS B 0896,"·완전 용입부위의 20개
소에 대하여 1개소",
10,철강구조물공사,"강재(용접부반
입검사)",,표면결함검사,,,육안검사,"·전용접부위에 대하여 무
작위 추출하여 10% 이상",
10,철강구조물공사,"강재(용접부반
입검사)",,스터드용접부의 검사,,,"용접후 마무리
높이 및 기울기
검사(금속제 곧
은자, 한계게이지,
콘벡스롤)","·100개 또는 주요부재 1
개에 용접한 숫자 중
작은 쪽을 1개 검사로
트로 하여 1개 검사로
트마다 1개씩 검사",
10,철강구조물공사,"강재(용접부반
입검사)",,,,,타격구부림검사,"·100개 또는 주요부재 1
개에 용접한 숫자중 작은
쪽을 1개 검사로트로 하
여 1개 검사로트마다 1
개씩 검사","스터드가 기울
어져 있는 경우
에는 축에서 축
길이를 측정함"
10,철강구조물공사,강교용접,,"맞이음의 내부 결함(위상배열
초음파 탐상검사,방사선투과
검사, 초음파탐상검사)",,,"KS B 0845
KS B 08096
KS B ISO 135888","·인장, 교번부 : 시‧종점부에
대해 300mm 이상 위상
배열 초음파 탐상검사
또는 각각 1매의 방사선
투과검사, 나머지부 초음파
탐상검사
·압축부, 전단부 : 용접길이의
50% 초음파탐상검사",
11,철강구조물공사,,,"필렛
용접","균열(자분탐상법 또는
침투액탐상법)",,"KS D 0213
KS B 0816","·매용접길이 3미터당
300밀리미터",
11,철강구조물공사,,,,"용접비이드의 외관 및
형상",,육안검사 등,·주부재의 이음마다,
11,철강구조물공사,"일반 구조용
압연 강재
(KS D 3503)",,"모양, 치수, 무게, 겉모양",,,"KS D 3051
KS D 3052
KS D 3500
KS D 3502","·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반 구조용
압연 강재
(KS D 3503)",,화학성분,,,KS D 3503,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반 구조용
압연 강재
(KS D 3503)",,항복점 또는 항복강도,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반 구조용
압연 강재
(KS D 3503)",,인장강도,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반 구조용
압연 강재
(KS D 3503)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반 구조용
압연 강재
(KS D 3503)",,굽힘성,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접 구조용
압연강재
(KS D 3515)",,"겉모양, 치수, 무게",,,"KS D 3052
KS D 3500
KS D 3502","·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접 구조용
압연강재
(KS D 3515)",,화학성분,,,KS D 3515,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접 구조용
압연강재
(KS D 3515)",,탄소당량 또는 용접균열감수성,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접 구조용
압연강재
(KS D 3515)",,항복점 또는 항복강도,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접 구조용
압연강재
(KS D 3515)",,인장강도,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접 구조용
압연강재
(KS D 3515)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접 구조용
압연강재
(KS D 3515)",,샤르피 흡수에너지,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접구조용
내후성
열간압연 강재
(KS D 3529)",,"겉모양, 모양, 치수, 무게",,,"KS D 3502
KS D 3500","·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접구조용
내후성
열간압연 강재
(KS D 3529)",,화학성분,,,KS D 3529,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접구조용
내후성
열간압연 강재
(KS D 3529)",,탄소당량 또는 용접균열감수성,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접구조용
내후성
열간압연 강재
(KS D 3529)",,항복점 또는 항복강도,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접구조용
내후성
열간압연 강재
(KS D 3529)",,인장강도,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접구조용
내후성
열간압연 강재
(KS D 3529)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"용접구조용
내후성
열간압연 강재
(KS D 3529)",,샤르피 흡수에너지,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반구조용
경량 형강
(KS D 3530)",,"겉모양, 치수, 무게",,,KS D 3530,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반구조용
경량 형강
(KS D 3530)",,화학성분,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반구조용
경량 형강
(KS D 3530)",,항복점,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반구조용
경량 형강
(KS D 3530)",,인장강도,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반구조용
경량 형강
(KS D 3530)",,연신,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"열간 압연
연강판 및 강대
(KS D 3501)",,"겉모양, 치수, 무게",,,KS D 3501,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"열간 압연
연강판 및 강대
(KS D 3501)",,화학성분,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"열간 압연
연강판 및 강대
(KS D 3501)",,인장강도,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"열간 압연
연강판 및 강대
(KS D 3501)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"열간 압연
연강판 및 강대
(KS D 3501)",,굽힘성,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반구조용
용접 경량
H형강
(KS D 3558)",,"겉모양, 치수",,,KS D 3558,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반구조용
용접 경량
H형강
(KS D 3558)",,화학성분,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반구조용
용접 경량
H형강
(KS D 3558)",,인장강도,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반구조용
용접 경량
H형강
(KS D 3558)",,항복점,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반구조용
용접 경량
H형강
(KS D 3558)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
11,철강구조물공사,"일반 구조용
탄소강관
(KS D 3566)",,"겉모양, 치수, 무게",,,KS D 3566,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3566",
11,철강구조물공사,"일반 구조용
탄소강관
(KS D 3566)",,화학성분,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3566",
11,철강구조물공사,"일반 구조용
탄소강관
(KS D 3566)",,인장강도,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3566",
12,철강구조물공사,,,항복점 또는 항복강도,,,,,
12,철강구조물공사,,,연신율,,,,,
12,철강구조물공사,,,굽힘성,,,,,
12,철강구조물공사,,,평평성,,,,,
12,철강구조물공사,,,용접부 인장강도,,,,,
12,철강구조물공사,"일반구조용
각형강관
(KS D 3568)",,"겉모양, 치수, 무게",,,KS D 3568,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3568","굽힘성 시험은
필요시"
12,철강구조물공사,"일반구조용
각형강관
(KS D 3568)",,화학성분,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3568",
12,철강구조물공사,"일반구조용
각형강관
(KS D 3568)",,인장강도,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3568",
12,철강구조물공사,"일반구조용
각형강관
(KS D 3568)",,항복점 또는 항복강도,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3568",
12,철강구조물공사,"일반구조용
각형강관
(KS D 3568)",,연신율,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3568",
12,철강구조물공사,"일반구조용
각형강관
(KS D 3568)",,굽힘성,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3568",
12,철강구조물공사,"건축구조용
탄소 강관
(KS D 3632)",,"겉모양, 치수, 무게",,,KS D 3632,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3632",
12,철강구조물공사,"건축구조용
탄소 강관
(KS D 3632)",,화학성분,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3632",
12,철강구조물공사,"건축구조용
탄소 강관
(KS D 3632)",,탄소당량 또는 용접균열감수성,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3632",
12,철강구조물공사,"건축구조용
탄소 강관
(KS D 3632)",,인장강도,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3632",
12,철강구조물공사,"건축구조용
탄소 강관
(KS D 3632)",,항복점 또는 내력,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3632",
12,철강구조물공사,"건축구조용
탄소 강관
(KS D 3632)",,항복비,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3632",
12,철강구조물공사,"건축구조용
탄소 강관
(KS D 3632)",,연신율,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3632",
12,철강구조물공사,"건축구조용
탄소 강관
(KS D 3632)",,편평성,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3632",
12,철강구조물공사,"건축구조용
탄소 강관
(KS D 3632)",,샤르피 흡수에너지,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3632",
12,철강구조물공사,"건축구조용
탄소 강관
(KS D 3632)",,용접부 인장강도,,,,"·제조회사별
·제품규격별 100톤마다
또는 KS D 3632",
12,철강구조물공사,"건축구조용
압연강재
(KS D 3861)",,"겉모양, 모양, 치수, 무게",,,KS D 3861,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
압연강재
(KS D 3861)",,화학성분,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
압연강재
(KS D 3861)",,탄소당량 또는 용접균열감수성,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
압연강재
(KS D 3861)",,항복점 또는 내력,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
압연강재
(KS D 3861)",,인장강도,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
압연강재
(KS D 3861)",,항복비,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
압연강재
(KS D 3861)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
압연강재
(KS D 3861)",,샤르피 흡수에너지,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
압연강재
(KS D 3861)",,두께 방향 특성,,,KS D 0276,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
압연강재
(KS D 3861)",,초음파 탐상,,,KS D 0040,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"교량구조용
압연강재
(KSD 3868)",,"겉모양, 모양, 치수, 무게",,,KS D 3500,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"교량구조용
압연강재
(KSD 3868)",,화학성분,,,KS D 3868,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"교량구조용
압연강재
(KSD 3868)",,탄소당량 또는 용접 균열감수성,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"교량구조용
압연강재
(KSD 3868)",,항복점 또는 항복 강도,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"교량구조용
압연강재
(KSD 3868)",,인장강도,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"교량구조용
압연강재
(KSD 3868)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"교량구조용
압연강재
(KSD 3868)",,샤르피 흡수에너지,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
고성능
압연강재
(KS D 5994)",,"겉모양, 모양, 치수, 무게",,,KS D 3500,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
고성능
압연강재
(KS D 5994)",,화학성분,,,KS D 5994,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
고성능
압연강재
(KS D 5994)",,탄소당량 또는 용접 균열감수성,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
고성능
압연강재
(KS D 5994)",,항복점 또는 항복 강도,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
고성능
압연강재
(KS D 5994)",,인장 강도,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
고성능
압연강재
(KS D 5994)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
고성능
압연강재
(KS D 5994)",,샤르피 흡수 에너지,,,,"·제조회사별
·제품규격별 50톤마다",
12,철강구조물공사,"건축구조용
고성능
압연강재
(KS D 5994)",,두께방향특성,,,KS D 0276,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,,,초음파 탐상,,,KS D 0040,,
13,철강구조물공사,"용접구조용
고항복점 강판
(KS D 3611)",,"겉모양, 모양, 치수, 무게",,,KS D 3611,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"용접구조용
고항복점 강판
(KS D 3611)",,화학성분,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"용접구조용
고항복점 강판
(KS D 3611)",,탄소당량 또는 용접 균열감수성,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"용접구조용
고항복점 강판
(KS D 3611)",,내력,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"용접구조용
고항복점 강판
(KS D 3611)",,인장강도,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"용접구조용
고항복점 강판
(KS D 3611)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"용접구조용
고항복점 강판
(KS D 3611)",,굽힘성,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"용접구조용
고항복점 강판
(KS D 3611)",,샤르피 흡수 에너지,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(KS D 3521)",,겉모양,,,KS D 3500,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(KS D 3521)",,"모양, 치수, 무게",,,KS D 3521,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(KS D 3521)",,화학성분,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(KS D 3521)",,탄소당량 또는 용접 균열감수성,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(KS D 3521)",,항복점 또는 항복강도,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(KS D 3521)",,인장 강도,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(KS D 3521)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(KS D 3521)",,굽힘성,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(KS D 3521)",,샤르피 흡수 에너지,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(제1부:두꺼운
판재)
(KS D 3853)",,겉모양,,,KS D 3500,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(제1부:두꺼운
판재)
(KS D 3853)",,"모양, 치수, 질량",,,KS D 3853,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(제1부:두꺼운
판재)
(KS D 3853)",,화학성분,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(제1부:두꺼운
판재)
(KS D 3853)",,탄소당량 또는 용접 균열감수성,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(제1부:두꺼운
판재)
(KS D 3853)",,항복점 또는 내력,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(제1부:두꺼운
판재)
(KS D 3853)",,인장 강도,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(제1부:두꺼운
판재)
(KS D 3853)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(제1부:두꺼운
판재)
(KS D 3853)",,굽힘성,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"압력용기용
강판
(제1부:두꺼운
판재)
(KS D 3853)",,샤르피 흡수 에너지,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"저온 압력
용기용 탄소강
강판
(KS D 3541)",,"겉모양, 모양, 치수, 무게",,,KS D 3500,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"저온 압력
용기용 탄소강
강판
(KS D 3541)",,화학 성분,,,KS D 3541,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"저온 압력
용기용 탄소강
강판
(KS D 3541)",,항복점 또는 항복 강도,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"저온 압력
용기용 탄소강
강판
(KS D 3541)",,인장 강도,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"저온 압력
용기용 탄소강
강판
(KS D 3541)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"저온 압력
용기용 탄소강
강판
(KS D 3541)",,굽힘성,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"저온 압력
용기용 탄소강
강판
(KS D 3541)",,샤르피 흡수 에너지,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"고내후성
압연강재
(KS D 3542)",,"겉모양, 치수, 무게",,,KS D 3542,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"고내후성
압연강재
(KS D 3542)",,화학성분,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"고내후성
압연강재
(KS D 3542)",,인장시험,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"고내후성
압연강재
(KS D 3542)",,굽힘성,,,,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"조립용 형강
(KS D 3593)",,"겉모양, 치수",,,KS D 3593,"·제조회사별
·제품규격별 15톤마다",
13,철강구조물공사,"조립용 형강
(KS D 3593)",,화학성분,,,,"·제조회사별
·제품규격별 15톤마다",
13,철강구조물공사,"조립용 형강
(KS D 3593)",,인장강도,,,,"·제조회사별
·제품규격별 15톤마다",
13,철강구조물공사,"조립용 형강
(KS D 3593)",,항복점,,,,"·제조회사별
·제품규격별 15톤마다",
13,철강구조물공사,"조립용 형강
(KS D 3593)",,0.2% 항복강도,,,,"·제조회사별
·제품규격별 15톤마다",
13,철강구조물공사,"조립용 형강
(KS D 3593)",,연신율,,,,"·제조회사별
·제품규격별 15톤마다",
13,철강구조물공사,"건축 구조용
표면처리",,"겉모양, 치수, 무게",,,KS D 3854,"·제조회사별
·제품규격별 50톤마다",
13,철강구조물공사,"건축 구조용
표면처리",,화학성분,,,,"·제조회사별
·제품규격별 50톤마다",
14,철강구조물공사,"경량형강
(KS D 3854)",,항복점,,,,,
14,철강구조물공사,"경량형강
(KS D 3854)",,인장강도,,,,,
14,철강구조물공사,"경량형강
(KS D 3854)",,연신율,,,,,
14,철강구조물공사,"경량형강
(KS D 3854)",,도금의 부착량,,,,,
14,철강구조물공사,"건축 구조용
열간압연형강
(KS D 3866)",,"겉모양, 치수, 무게",,,KS D 3502,"·제조회사별
·제품규격별 50톤마다",
14,철강구조물공사,"건축 구조용
열간압연형강
(KS D 3866)",,화학성분,,,KS D 3866,"·제조회사별
·제품규격별 50톤마다",
14,철강구조물공사,"건축 구조용
열간압연형강
(KS D 3866)",,탄소당량 또는 용접균열감수성,,,,"·제조회사별
·제품규격별 50톤마다",
14,철강구조물공사,"건축 구조용
열간압연형강
(KS D 3866)",,항복점 또는 항복강도,,,,"·제조회사별
·제품규격별 50톤마다",
14,철강구조물공사,"건축 구조용
열간압연형강
(KS D 3866)",,인장강도,,,,"·제조회사별
·제품규격별 50톤마다",
14,철강구조물공사,"건축 구조용
열간압연형강
(KS D 3866)",,항복비,,,,"·제조회사별
·제품규격별 50톤마다",
14,철강구조물공사,"건축 구조용
열간압연형강
(KS D 3866)",,연신율,,,,"·제조회사별
·제품규격별 50톤마다",
14,철강구조물공사,"건축 구조용
열간압연형강
(KS D 3866)",,샤르피 흡수에너지,,,,"·제조회사별
·제품규격별 50톤마다",
14,철강구조물공사,"구조용 고장력
탄소강 및
저합금강
주강품
(KS D 4102)",,"겉모양, 치수",,,KS D 0402,"·제조회사별
·제품규격별 100톤마다",
14,철강구조물공사,"구조용 고장력
탄소강 및
저합금강
주강품
(KS D 4102)",,화학성분,,,KS D 0401,"·제조회사별
·제품규격별 100톤마다",
14,철강구조물공사,"구조용 고장력
탄소강 및
저합금강
주강품
(KS D 4102)",,항복점 또는 내구력,,,,"·제조회사별
·제품규격별 100톤마다",
14,철강구조물공사,"구조용 고장력
탄소강 및
저합금강
주강품
(KS D 4102)",,인장강도,,,,"·제조회사별
·제품규격별 100톤마다",
14,철강구조물공사,"구조용 고장력
탄소강 및
저합금강
주강품
(KS D 4102)",,연신율,,,,"·제조회사별
·제품규격별 100톤마다",
14,철강구조물공사,"구조용 고장력
탄소강 및
저합금강
주강품
(KS D 4102)",,단면수축률,,,,"·제조회사별
·제품규격별 100톤마다",
14,철강구조물공사,"구조용 고장력
탄소강 및
저합금강
주강품
(KS D 4102)",,경도,,,,"·제조회사별
·제품규격별 100톤마다",
14,철강구조물공사,"구조용 고장력
탄소강 및
저합금강
주강품
(KS D 4102)",,건전성,,,,·필요시,
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,"겉모양, 치수",,,KS B 1010,"·제조회사별
·제품규격마다",
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,나사,,,,"·제조회사별
·제품규격마다",
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,"볼트
시험편",항복강도,,,"·제조회사별
·제품규격마다",
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,,인장강도,,,"·제조회사별
·제품규격마다",
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,,연신율,,,"·제조회사별
·제품규격마다",
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,,단면 수축률,,,"·제조회사별
·제품규격마다",
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,"볼트
제품",최소 인장하중,,,"·제조회사별
·제품규격마다",
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,,경도,,,"·제조회사별
·제품규격마다",
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,너트,경도,,,"·제조회사별
·제품규격마다",
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,,보증하중,,,"·제조회사별
·제품규격마다",
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,와셔,경도,,,"·제조회사별
·제품규격마다",
14,철강구조물공사,"마찰접합용 고
장력 6각볼트,
6각너트, 평와
셔의 세트
(KS B 1010)",,세트,토크계수값,,,"·제조회사별
·제품규격마다",
14,철강구조물공사,"구조물용 토크-
전단형 고장력
볼트, 6각너트,
평와셔의 세트
(KS B 2819)",,"겉모양, 치수",,,KS B 2819,"·제조회사별
·제품규격마다",
14,철강구조물공사,"구조물용 토크-
전단형 고장력
볼트, 6각너트,
평와셔의 세트
(KS B 2819)",,나사,,,,"·제조회사별
·제품규격마다",
